symbol,date,price
NFLX,3/31/2021,521.66
NFLX,2/26/2021,538.85
NFLX,1/29/2021,532.39
NFLX,12/31/2020,540.73
NFLX,11/30/2020,490.7
NFLX,10/30/2020,475.74
NFLX,9/30/2020,500.03
NFLX,8/31/2020,529.56
NFLX,7/31/2020,488.88
NFLX,6/30/2020,455.04
NFLX,5/29/2020,419.73
NFLX,4/30/2020,419.85
NFLX,3/31/2020,375.5
NFLX,2/28/2020,369.03
NFLX,1/31/2020,345.09
NFLX,12/31/2019,323.57
NFLX,11/29/2019,314.66
NFLX,10/31/2019,287.41
NFLX,9/30/2019,267.62
NFLX,8/30/2019,293.75
NFLX,7/31/2019,322.99
NFLX,6/28/2019,367.32
NFLX,5/31/2019,343.28
NFLX,4/30/2019,370.54
NFLX,3/29/2019,356.56
NFLX,2/28/2019,358.1
NFLX,1/31/2019,339.5
NFLX,12/31/2018,267.66
NFLX,11/30/2018,286.13
NFLX,10/31/2018,301.78
NFLX,9/28/2018,374.13
NFLX,8/31/2018,367.68
NFLX,7/31/2018,337.45
NFLX,6/29/2018,391.43
NFLX,5/31/2018,351.6
NFLX,4/30/2018,312.46
NFLX,3/29/2018,295.35
NFLX,2/28/2018,291.38
NFLX,1/31/2018,270.3
NFLX,12/29/2017,191.96
NFLX,11/30/2017,187.58
NFLX,10/31/2017,196.43
NFLX,9/29/2017,181.35
NFLX,8/31/2017,174.71
NFLX,7/31/2017,181.66
NFLX,6/30/2017,149.41
NFLX,5/31/2017,163.07
NFLX,4/28/2017,152.2
NFLX,3/31/2017,147.81
NFLX,2/28/2017,142.13
NFLX,1/31/2017,140.71
NFLX,12/30/2016,123.8
NFLX,11/30/2016,117
NFLX,10/31/2016,124.87
NFLX,9/30/2016,98.55
NFLX,8/31/2016,97.45
NFLX,7/29/2016,91.25
NFLX,6/30/2016,91.48
NFLX,5/31/2016,102.57
NFLX,4/29/2016,90.03
NFLX,3/31/2016,102.23
NFLX,2/29/2016,93.41
NFLX,1/29/2016,91.84
NFLX,12/31/2015,114.38
NFLX,11/30/2015,123.33
NFLX,10/30/2015,108.38
NFLX,9/30/2015,103.26
NFLX,8/31/2015,115.03
NFLX,7/31/2015,114.31
NFLX,6/30/2015,656.94
NFLX,5/29/2015,624.06
NFLX,4/30/2015,556.5
NFLX,3/31/2015,416.69
NFLX,2/27/2015,474.91
NFLX,1/30/2015,441.8
BABA,1/3/2022,120.38
BABA,12/31/2021,118.79
BABA,11/30/2021,127.53
BABA,10/29/2021,164.94
BABA,9/30/2021,148.05
BABA,8/31/2021,166.99
BABA,7/30/2021,195.19
BABA,6/30/2021,226.78
BABA,5/28/2021,213.96
BABA,4/30/2021,230.95
BABA,3/31/2021,226.73
BABA,2/26/2021,237.76
BABA,1/29/2021,253.83
BABA,12/31/2020,232.73
BABA,11/30/2020,263.36
BABA,10/30/2020,304.69
BABA,9/30/2020,293.98
BABA,8/31/2020,287.03
BABA,7/31/2020,251.02
BABA,6/30/2020,215.7
BABA,5/29/2020,207.39
BABA,4/30/2020,202.67
BABA,3/31/2020,194.48
BABA,2/28/2020,208
BABA,1/31/2020,206.59
BABA,12/31/2019,212.1
BABA,11/29/2019,200
BABA,10/31/2019,176.67
