,date,frequency,happiness,timeseries
126,2019-04-07,164802943.0,6.002,/api/v1/timeseries/3/
466,2019-04-08,171532028.0,5.988,/api/v1/timeseries/3/
127,2019-04-09,174374653.0,5.967,/api/v1/timeseries/3/
128,2019-04-10,176291642.0,5.969,/api/v1/timeseries/3/
129,2019-04-11,178494476.0,5.964,/api/v1/timeseries/3/
130,2019-04-12,184757845.0,5.997,/api/v1/timeseries/3/
131,2019-04-13,167311548.0,5.960,/api/v1/timeseries/3/
132,2019-04-14,165614580.0,5.995,/api/v1/timeseries/3/
133,2019-04-15,171715483.0,5.938,/api/v1/timeseries/3/
134,2019-04-16,173346120.0,5.960,/api/v1/timeseries/3/
135,2019-04-17,174509963.0,5.981,/api/v1/timeseries/3/
136,2019-04-18,183222858.0,5.959,/api/v1/timeseries/3/
137,2019-04-19,164932428.0,5.975,/api/v1/timeseries/3/
138,2019-04-20,152087765.0,5.980,/api/v1/timeseries/3/
139,2019-04-21,158898100.0,5.964,/api/v1/timeseries/3/
140,2019-04-22,183463396.0,5.983,/api/v1/timeseries/3/
467,2019-04-23,190871495.0,5.975,/api/v1/timeseries/3/
141,2019-04-24,190034676.0,5.992,/api/v1/timeseries/3/
142,2019-04-25,182821224.0,5.988,/api/v1/timeseries/3/
143,2019-04-26,170065137.0,5.997,/api/v1/timeseries/3/
144,2019-04-27,158564999.0,6.000,/api/v1/timeseries/3/
145,2019-04-28,165775011.0,5.978,/api/v1/timeseries/3/
146,2019-04-29,169373099.0,5.961,/api/v1/timeseries/3/
147,2019-04-30,176522537.0,5.973,/api/v1/timeseries/3/
148,2019-05-01,194987278.0,6.005,/api/v1/timeseries/3/
149,2019-05-02,165603947.0,5.984,/api/v1/timeseries/3/
150,2019-05-03,165012622.0,5.996,/api/v1/timeseries/3/
151,2019-05-04,154878730.0,5.979,/api/v1/timeseries/3/
152,2019-05-05,165363354.0,5.971,/api/v1/timeseries/3/
153,2019-05-06,175346160.0,5.969,/api/v1/timeseries/3/
154,2019-05-07,180497163.0,5.973,/api/v1/timeseries/3/
468,2019-05-08,185656972.0,5.963,/api/v1/timeseries/3/
155,2019-05-09,178506184.0,5.951,/api/v1/timeseries/3/
156,2019-05-10,168026047.0,5.972,/api/v1/timeseries/3/
157,2019-05-11,152659047.0,5.973,/api/v1/timeseries/3/
158,2019-05-12,163414718.0,6.044,/api/v1/timeseries/3/
159,2019-05-13,173623143.0,5.970,/api/v1/timeseries/3/
160,2019-05-14,173795341.0,5.943,/api/v1/timeseries/3/
161,2019-05-15,178845459.0,5.906,/api/v1/timeseries/3/
162,2019-05-16,183895369.0,5.909,/api/v1/timeseries/3/
163,2019-05-17,173413445.0,5.933,/api/v1/timeseries/3/
164,2019-05-18,155933217.0,5.976,/api/v1/timeseries/3/
165,2019-05-19,161358776.0,5.963,/api/v1/timeseries/3/
166,2019-05-20,172701521.0,5.962,/api/v1/timeseries/3/
167,2019-05-21,175158662.0,5.973,/api/v1/timeseries/3/
168,2019-05-22,173708968.0,5.971,/api/v1/timeseries/3/
469,2019-05-23,176008991.0,5.976,/api/v1/timeseries/3/
169,2019-05-24,164488382.0,5.982,/api/v1/timeseries/3/
170,2019-05-25,150282311.0,5.984,/api/v1/timeseries/3/
171,2019-05-26,156245177.0,5.989,/api/v1/timeseries/3/
172,2019-05-27,154712158.0,5.992,/api/v1/timeseries/3/
173,2019-05-28,160515949.0,5.979,/api/v1/timeseries/3/
174,2019-05-29,170545165.0,5.958,/api/v1/timeseries/3/
175,2019-05-30,171221324.0,5.978,/api/v1/timeseries/3/
176,2019-05-31,161887377.0,5.995,/api/v1/timeseries/3/
177,2019-06-01,156327152.0,6.015,/api/v1/timeseries/3/
178,2019-06-02,160505321.0,5.994,/api/v1/timeseries/3/
179,2019-06-03,166661159.0,5.994,/api/v1/timeseries/3/
180,2019-06-04,166056257.0,6.008,/api/v1/timeseries/3/
181,2019-06-05,150076985.0,5.987,/api/v1/timeseries/3/
182,2019-06-06,159766167.0,5.969,/api/v1/timeseries/3/
470,2019-06-07,164619590.0,5.985,/api/v1/timeseries/3/
183,2019-06-08,149144026.0,5.994,/api/v1/timeseries/3/
184,2019-06-09,156799798.0,5.979,/api/v1/timeseries/3/
185,2019-06-10,166237930.0,5.972,/api/v1/timeseries/3/
186,2019-06-11,168538802.0,5.963,/api/v1/timeseries/3/
187,2019-06-12,186401120.0,5.960,/api/v1/timeseries/3/
188,2019-06-13,179121579.0,5.964,/api/v1/timeseries/3/
189,2019-06-14,166640550.0,5.997,/api/v1/timeseries/3/
190,2019-06-15,151642915.0,5.988,/api/v1/timeseries/3/
191,2019-06-16,152167066.0,6.018,/api/v1/timeseries/3/
192,2019-06-17,158150263.0,5.979,/api/v1/timeseries/3/
193,2019-06-18,165739620.0,5.958,/api/v1/timeseries/3/
194,2019-06-19,171805633.0,5.960,/api/v1/timeseries/3/
195,2019-06-20,170209530.0,5.969,/api/v1/timeseries/3/
196,2019-06-21,170348228.0,5.990,/api/v1/timeseries/3/
471,2019-06-22,153501102.0,5.984,/api/v1/timeseries/3/
197,2019-06-23,156359506.0,5.970,/api/v1/timeseries/3/
198,2019-06-24,165161620.0,5.977,/api/v1/timeseries/3/
199,2019-06-25,174679472.0,5.957,/api/v1/timeseries/3/
200,2019-06-26,169362169.0,5.950,/api/v1/timeseries/3/
201,2019-06-27,168839006.0,5.966,/api/v1/timeseries/3/
202,2019-06-28,161607080.0,5.998,/api/v1/timeseries/3/
203,2019-06-29,150433891.0,5.976,/api/v1/timeseries/3/
204,2019-06-30,165399788.0,5.954,/api/v1/timeseries/3/
205,2019-07-01,173427145.0,5.961,/api/v1/timeseries/3/
206,2019-07-02,171653116.0,5.963,/api/v1/timeseries/3/
207,2019-07-03,177034934.0,5.961,/api/v1/timeseries/3/
208,2019-07-04,166090032.0,6.014,/api/v1/timeseries/3/
209,2019-07-05,158949348.0,5.989,/api/v1/timeseries/3/
210,2019-07-06,160555883.0,5.971,/api/v1/timeseries/3/
472,2019-07-07,168416425.0,5.994,/api/v1/timeseries/3/
211,2019-07-08,168667303.0,5.980,/api/v1/timeseries/3/
212,2019-07-09,173866599.0,5.977,/api/v1/timeseries/3/
213,2019-07-10,173447630.0,5.977,/api/v1/timeseries/3/
214,2019-07-11,148567413.0,5.979,/api/v1/timeseries/3/
215,2019-07-12,132411705.0,5.988,/api/v1/timeseries/3/
216,2019-07-13,156614357.0,5.973,/api/v1/timeseries/3/
217,2019-07-14,168644408.0,5.959,/api/v1/timeseries/3/
218,2019-07-15,177826277.0,5.926,/api/v1/timeseries/3/
219,2019-07-16,180462653.0,5.924,/api/v1/timeseries/3/
220,2019-07-17,178307968.0,5.937,/api/v1/timeseries/3/
221,2019-07-18,179414559.0,5.944,/api/v1/timeseries/3/
222,2019-07-19,172992450.0,5.974,/api/v1/timeseries/3/
223,2019-07-20,159654625.0,5.977,/api/v1/timeseries/3/
224,2019-07-21,162470307.0,5.976,/api/v1/timeseries/3/
473,2019-07-22,172377153.0,5.967,/api/v1/timeseries/3/
225,2019-07-23,178048388.0,5.972,/api/v1/timeseries/3/
226,2019-07-24,181256224.0,5.953,/api/v1/timeseries/3/
227,2019-07-25,175470961.0,5.949,/api/v1/timeseries/3/
228,2019-07-26,168851456.0,5.969,/api/v1/timeseries/3/
229,2019-07-27,159527231.0,5.943,/api/v1/timeseries/3/
230,2019-07-28,165994422.0,5.935,/api/v1/timeseries/3/
231,2019-07-29,178275397.0,5.924,/api/v1/timeseries/3/
232,2019-07-30,181534815.0,5.947,/api/v1/timeseries/3/
233,2019-07-31,174871449.0,5.946,/api/v1/timeseries/3/
234,2019-08-01,170821458.0,5.980,/api/v1/timeseries/3/
235,2019-08-02,162774205.0,5.963,/api/v1/timeseries/3/
236,2019-08-03,159911122.0,5.901,/api/v1/timeseries/3/
237,2019-08-04,187986689.0,5.760,/api/v1/timeseries/3/
238,2019-08-05,190351135.0,5.834,/api/v1/timeseries/3/
474,2019-08-06,184978190.0,5.900,/api/v1/timeseries/3/
239,2019-08-07,187193922.0,5.910,/api/v1/timeseries/3/
240,2019-08-08,185374072.0,5.936,/api/v1/timeseries/3/
241,2019-08-09,172275067.0,5.963,/api/v1/timeseries/3/
242,2019-08-10,163513888.0,5.894,/api/v1/timeseries/3/
243,2019-08-11,164279510.0,5.931,/api/v1/timeseries/3/
244,2019-08-12,171727889.0,5.962,/api/v1/timeseries/3/
245,2019-08-13,172304272.0,5.958,/api/v1/timeseries/3/
246,2019-08-14,170516838.0,5.950,/api/v1/timeseries/3/
247,2019-08-15,171468900.0,5.948,/api/v1/timeseries/3/
248,2019-08-16,163487528.0,5.975,/api/v1/timeseries/3/
249,2019-08-17,152028765.0,5.959,/api/v1/timeseries/3/
250,2019-08-18,159031532.0,5.940,/api/v1/timeseries/3/
251,2019-08-19,161433680.0,5.964,/api/v1/timeseries/3/
252,2019-08-20,166347114.0,5.956,/api/v1/timeseries/3/
253,2019-08-21,175522344.0,5.933,/api/v1/timeseries/3/
254,2019-08-22,168065673.0,5.967,/api/v1/timeseries/3/
