Date,Tesla,BTC
8/16/2021,686.169983,46004.48438
8/17/2021,665.710022,44695.35938
8/18/2021,688.98999,44801.1875
8/19/2021,673.469971,46717.57813
8/20/2021,680.26001,49339.17578
8/23/2021,706.299988,49546.14844
8/24/2021,708.48999,47706.11719
8/25/2021,711.200012,48960.78906
8/26/2021,701.159973,46942.21875
8/27/2021,711.919983,49058.66797
8/30/2021,730.909973,47054.98438
8/31/2021,735.719971,47166.6875
9/1/2021,734.090027,48847.02734
9/2/2021,732.390015,49327.72266
9/3/2021,733.570007,50025.375
9/7/2021,752.919983,46811.12891
9/8/2021,753.869995,46091.39063
9/9/2021,754.859985,46391.42188
9/10/2021,736.27002,44883.91016
9/13/2021,743,44963.07422
9/14/2021,744.48999,47092.49219
9/15/2021,755.830017,48176.34766
9/16/2021,756.98999,47783.35938
9/17/2021,759.48999,47267.51953
9/20/2021,730.169983,42843.80078
9/21/2021,739.380005,40693.67578
9/22/2021,751.940002,43574.50781
9/23/2021,753.640015,44895.09766
9/24/2021,774.390015,42839.75
9/27/2021,791.359985,42235.73047
9/28/2021,777.559998,41034.54297
9/29/2021,781.309998,41564.36328
9/30/2021,775.47998,43790.89453
10/1/2021,775.219971,48116.94141
10/4/2021,781.530029,49112.90234
10/5/2021,780.590027,51514.8125
10/6/2021,782.75,55361.44922
10/7/2021,793.609985,53805.98438
10/8/2021,785.48999,53967.84766
10/11/2021,791.940002,57484.78906
10/12/2021,805.719971,56041.05859
10/13/2021,811.080017,57401.09766
10/14/2021,818.320007,57321.52344
10/15/2021,843.030029,61593.94922
10/16/2021,870.109985,60892.17969
10/17/2021,864.27002,61553.61719
10/18/2021,865.799988,62026.07813
10/19/2021,894,64261.99219
10/20/2021,909.679993,65992.83594
10/21/2021,1024.859985,62210.17188
10/22/2021,1018.429993,60692.26563
10/23/2021,1037.859985,61393.61719
10/24/2021,1077.040039,60930.83594
10/25/2021,1114,63039.82422
10/26/2021,1208.589966,60363.79297
10/27/2021,1172,58482.38672
10/28/2021,1213.859985,60622.13672
10/29/2021,1229.910034,62227.96484
10/30/2021,1222.089966,61888.83203
10/31/2021,1162.939941,61318.95703
11/1/2021,1023.5,61004.40625
11/2/2021,1067.949951,63226.40234
11/3/2021,1063.51001,62970.04688
11/4/2021,1033.420044,61452.23047
11/5/2021,1013.390015,61125.67578
11/6/2021,1054.72998,61527.48047
11/7/2021,1089.01001,63326.98828
11/8/2021,1096.380005,67566.82813
11/9/2021,1137.060059,66971.82813
11/10/2021,1156.869995,64995.23047
11/11/2021,1109.030029,64949.96094
11/12/2021,1116,64155.94141
11/13/2021,1081.920044,64469.52734
11/14/2021,1136.98999,65466.83984
11/15/2021,1144.76001,63557.87109
11/16/2021,1095,60161.24609
11/17/2021,1084.599976,60368.01172
11/18/2021,1014.969971,56942.13672
11/19/2021,1009.01001,58119.57813
11/20/2021,1051.75,59697.19531
11/21/2021,1068.959961,58730.47656
11/22/2021,1003.799988,56289.28906
11/23/2021,1017.030029,57569.07422
11/24/2021,966.409973,56280.42578
11/25/2021,958.51001,57274.67969
11/26/2021,975.98999,53569.76563
11/27/2021,926.919983,54815.07813
11/28/2021,932.570007,57248.45703
11/29/2021,899.940002,57806.56641
11/30/2021,938.530029,57005.42578
12/1/2021,1008.869995,57229.82813
12/2/2021,1067,56477.81641
12/3/2021,1093.939941,53598.24609
12/4/2021,1088.469971,49200.70313
12/5/2021,1086.189941,49368.84766
12/6/2021,1070.339966,50582.625
